title,artist,album,year,vid,start,end,link
No Aloha,The Breeders,Last Splash,1993,RCx901bOa4U,0,9,https://4ad.com/releases/126
Upstairs,Swirlies,What to Do About Them,1992,FSIv9NE-rZM,82,92,https://rcarchives.com/swirlies/discography/index.htm
Ms. Wrong,that dog.,Totally Crushed Out!,1995,AE4nbtXzm10,49,60,https://thirdmanstore.com/products/totally-crushed-out
Waiting on the Guns,Butterglory,Crumble,1994,Q8vETpiYXEQ,26,34,https://butterglory.bandcamp.com/album/crumble
Taste of Cindy,The Jesus and Mary Chain,Psychocandy,1985,T3VNM9IKBVI,0,13,https://www.newburycomics.com/products/the_jesus_and_mary_chain-psychocandy_exclusive_lp?variant=40685610107060
Desampar,L&ecirc; Almeida,Paraleloplasmos,2015,1pTdmUSHWCk,7,16,https://lealmeida.bandcamp.com/album/paraleloplasmos
Glider,My Bloody Valentine,ep's 1988-1991 and rare tracks,2012,B0t8km4AHGM,165,175,https://store.mybloodyvalentine.org/release/223071-my-bloody-valentine-eps-1988-1991-and-rare-tracks
World of My Dreams,New Bad Things,C-Sides,1999,64XmWQRT_Dw,17,25,https://newbadthings.bandcamp.com/album/c-sides
Pancake,Swirlies,Blonder Tongue Audio Baton,1992,DDxlzKQ9D0Q,16,26,https://rcarchives.com/swirlies/discography/index.htm
Jungle Boy,Gum Country,Somewhere,2020,rHLyt54iiZ8,3,11,https://gumcountry.bandcamp.com/album/somewhere
Blade of Grass,Versus,The Stars Are Insane,1994,He0SjEtwOfQ,137,149,http://teenbeat.net/items/142.html
Connection,Elastica,Elastica,1995,NtWsraDoaLc,59,70,https://recordstoreday.com/UPC/602537723362/Elastica_Elastica-Remastered-Vinyl
Free All the Monsters,The Bats,Free All the Monsters,2011,hVglAVIorY4,0,10,https://thebats.bandcamp.com/album/free-all-the-monsters
It's All Happening Now,Swervedriver,Ejector Seat Reservation,1995,FIRG_pA8pkg,62,73,https://swervedriver.bandcamp.com/album/ejector-seat-reservation-happening-edition
Ginger,Lilys,A Brief History of Amazing Letdowns,1994,oWnypRmzYHs,48,56,https://frontierrecords-lilys.bandcamp.com/album/a-brief-history-of-amazing-letdowns
