winner,film,year,age,gender,role,supporting
Janet Gaynor,Seventh Heaven; Street Angel; Sunrise,1929,22,female,Best Actress,no
Mary Pickford,Coquette,1930,37,female,Best Actress,no
Norma Shearer,The Divorcee,1930,28,female,Best Actress,no
Marie Dressler,Min and Bill,1931,63,female,Best Actress,no
Helen Hayes,The Sin of Madelon Claudet,1932,32,female,Best Actress,no
Katharine Hepburn,Morning Glory,1934,26,female,Best Actress,no
Claudette Colbert,It Happened One Night,1935,31,female,Best Actress,no
Bette Davis,Dangerous,1936,27,female,Best Actress,no
Luise Rainer,The Great Ziegfeld,1937,27,female,Best Actress,no
Luise Rainer,The Good Earth,1938,28,female,Best Actress,no
Bette Davis,Jezebel,1939,30,female,Best Actress,no
Vivien Leigh,Gone with the Wind,1940,26,female,Best Actress,no
Ginger Rogers,Kitty Foyle,1941,29,female,Best Actress,no
Joan Fontaine,Suspicion,1942,24,female,Best Actress,no
Greer Garson,Mrs. Miniver,1943,38,female,Best Actress,no
Jennifer Jones,The Song of Bernadette,1944,25,female,Best Actress,no
Ingrid Bergman,Gaslight,1945,29,female,Best Actress,no
Joan Crawford,Mildred Pierce,1946,41,female,Best Actress,no
Olivia de Havilland,To Each His Own,1947,30,female,Best Actress,no
Loretta Young,The Farmer's Daughter,1948,35,female,Best Actress,no
Jane Wyman,Johnny Belinda,1949,32,female,Best Actress,no
Olivia de Havilland,The Heiress,1950,33,female,Best Actress,no
Judy Holliday,Born Yesterday,1951,29,female,Best Actress,no
Vivien Leigh,A Streetcar Named Desire,1952,38,female,Best Actress,no
Shirley Booth,"Come Back, Little Sheba",1953,54,female,Best Actress,no
Audrey Hepburn,Roman Holiday,1954,24,female,Best Actress,no
Grace Kelly,The Country Girl,1955,25,female,Best Actress,no
Anna Magnani,The Rose Tattoo,1956,48,female,Best Actress,no
Ingrid Bergman,Anastasia,1957,41,female,Best Actress,no
Joanne Woodward,The Three Faces of Eve,1958,28,female,Best Actress,no
Susan Hayward,I Want to Live!,1959,41,female,Best Actress,no
Simone Signoret,Room at the Top,1960,39,female,Best Actress,no
Elizabeth Taylor,BUtterfield 8,1961,29,female,Best Actress,no
Sophia Loren,Two Women,1962,27,female,Best Actress,no
Anne Bancroft,The Miracle Worker,1963,31,female,Best Actress,no
Patricia Neal,Hud,1964,38,female,Best Actress,no
Julie Andrews,Mary Poppins,1965,29,female,Best Actress,no
Julie Christie,Darling,1966,25,female,Best Actress,no
Elizabeth Taylor,Who's Afraid of Virginia Woolf?,1967,35,female,Best Actress,no
Katharine Hepburn,Guess Who's Coming to Dinner,1968,60,female,Best Actress,no
Katharine Hepburn,The Lion in Winter,1969,61,female,Best Actress,no
Barbra Streisand,Funny Girl,1969,26,female,Best Actress,no
Maggie Smith,The Prime of Miss Jean Brodie,1970,35,female,Best Actress,no
Glenda Jackson,Women in Love,1971,34,female,Best Actress,no
Jane Fonda,Klute,1972,34,female,Best Actress,no
Liza Minnelli,Cabaret,1973,27,female,Best Actress,no
Glenda Jackson,A Touch of Class,1974,37,female,Best Actress,no
Ellen Burstyn,Alice Doesn't Live Here Anymore,1975,42,female,Best Actress,no
Louise Fletcher,One Flew Over the Cuckoo's Nest,1976,41,female,Best Actress,no
Faye Dunaway,Network,1977,36,female,Best Actress,no
Diane Keaton,Annie Hall,1978,32,female,Best Actress,no
Jane Fonda,Coming Home,1979,41,female,Best Actress,no
Sally Field,Norma Rae,1980,33,female,Best Actress,no
Sissy Spacek,Coal Miner's Daughter,1981,31,female,Best Actress,no
Katharine Hepburn,On Golden Pond,1982,74,female,Best Actress,no
Meryl Streep,Sophie's Choice,1983,33,female,Best Actress,no
Shirley MacLaine,Terms of Endearment,1984,49,female,Best Actress,no
Sally Field,Places in the Heart,1985,38,female,Best Actress,no
Geraldine Page,The Trip to Bountiful,1986,61,female,Best Actress,no
Marlee Matlin,Children of a Lesser God,1987,21,female,Best Actress,no
Cher,Moonstruck,1988,41,female,Best Actress,no
Jodie Foster,The Accused,1989,26,female,Best Actress,no
Jessica Tandy,Driving Miss Daisy,1990,80,female,Best Actress,no
Kathy Bates,Misery,1991,42,female,Best Actress,no
Jodie Foster,The Silence of the Lambs,1992,29,female,Best Actress,no
Emma Thompson,Howards End,1993,33,female,Best Actress,no
Holly Hunter,The Piano,1994,36,female,Best Actress,no
Jessica Lange,Blue Sky,1995,45,female,Best Actress,no
Susan Sarandon,Dead Man Walking,1996,49,female,Best Actress,no
