Period Ending,Country,GG Legal Process,GG User Data Requests,GG Percentage of requests where some data produced,GG Users/Accounts Specified,FB Requests for User Data,FB User Accounts Referenced,FB Percentage of requests where some data produced
Dec. 2009,Argentina,,98,,,,,
Dec. 2009,Australia,,155,,,,,
Dec. 2009,Belgium,,67,,,,,
Dec. 2009,Brazil,,3663,,,,,
Dec. 2009,Canada,,41,,,,,
Dec. 2009,Switzerland,,42,,,,,
Dec. 2009,Chile,,110,,,,,
Dec. 2009,Germany,,458,,,,,
Dec. 2009,Spain,,324,,,,,
Dec. 2009,France,,846,,,,,
Dec. 2009,United Kingdom,,1166,,,,,
Dec. 2009,Israel,,30,,,,,
Dec. 2009,India,,1061,,,,,
Dec. 2009,Italy,,550,,,,,
Dec. 2009,Japan,,44,,,,,
Dec. 2009,South Korea,,44,,,,,
Dec. 2009,Netherlands,,67,,,,,
Dec. 2009,Poland,,86,,,,,
Dec. 2009,Portugal,,45,,,,,
Dec. 2009,Singapore,,62,,,,,
Dec. 2009,United States,,3580,,,,,
June 2010,Argentina,,134,,,,,
June 2010,Australia,,200,,,,,
June 2010,Belgium,,71,,,,,
June 2010,Brazil,,2435,,,,,
June 2010,Switzerland,,35,,,,,
June 2010,Chile,,115,,,,,
June 2010,Germany,,668,,,,,
June 2010,Spain,,372,,,,,
June 2010,France,,1017,,,,,
June 2010,United Kingdom,,1343,,,,,
June 2010,Hong Kong,,50,,,,,
June 2010,Israel,,30,,,,,
June 2010,India,,1430,,,,,
June 2010,Italy,,651,,,,,
June 2010,Japan,,56,,,,,
June 2010,South Korea,,170,,,,,
June 2010,Portugal,,73,,,,,
June 2010,Singapore,,106,,,,,
June 2010,Turkey,,51,,,,,
June 2010,Taiwan,,130,,,,,
June 2010,United States,,4287,,,,,
Dec. 2010,Argentina,,127,40,,,,
Dec. 2010,Australia,,345,81,,,,
Dec. 2010,Belgium,,85,73,,,,
Dec. 2010,Brazil,,1804,76,,,,
Dec. 2010,Canada,,38,55,,,,
Dec. 2010,Chile,,121,66,,,,
Dec. 2010,Germany,,768,76,,,,
Dec. 2010,Spain,,359,61,,,,
Dec. 2010,France,,1021,56,,,,
Dec. 2010,United Kingdom,,1162,72,,,,
Dec. 2010,Hong Kong,,90,59,,,,
Dec. 2010,Hungary,,68,0,,,,
Dec. 2010,Israel,,54,76,,,,
Dec. 2010,India,,1699,79,,,,
Dec. 2010,Italy,,837,60,,,,
Dec. 2010,Japan,,72,90,,,,
Dec. 2010,South Korea,,190,45,,,,
Dec. 2010,Mexico,,34,56,,,,
Dec. 2010,Netherlands,,43,67,,,,
Dec. 2010,Poland,,272,12,,,,
Dec. 2010,Portugal,,92,43,,,,
Dec. 2010,Singapore,,118,88,,,,
Dec. 2010,Turkey,,45,0,,,,
Dec. 2010,Taiwan,,156,65,,,,
Dec. 2010,United States,,4601,94,,,,
June 2011,Argentina,,134,32,188,,,
June 2011,Australia,,361,73,412,,,
June 2011,Belgium,,90,67,111,,,
June 2011,Brazil,,703,87,1822,,,
June 2011,Canada,,50,48,75,,,
June 2011,Switzerland,,36,69,42,,,
June 2011,Chile,,118,42,143,,,
June 2011,Germany,,1065,66,1759,,,
June 2011,Spain,,460,63,709,,,
June 2011,France,,1312,47,1552,,,
June 2011,United Kingdom,,1279,63,1444,,,
June 2011,Hong Kong,,123,42,123,,,
June 2011,Hungary,,81,0,82,,,
June 2011,Israel,,60,60,67,,,
June 2011,India,,1739,70,2439,,,
June 2011,Italy,,934,60,1263,,,
June 2011,Japan,,75,87,82,,,
June 2011,South Korea,,259,37,530,,,
June 2011,Mexico,,48,42,73,,,
June 2011,Netherlands,,64,48,213,,,
June 2011,Poland,,266,11,319,,,
June 2011,Portugal,,161,50,323,,,
June 2011,Russia,,42,0,47,,,
June 2011,Singapore,,106,75,126,,,
June 2011,Turkey,,73,0,74,,,
June 2011,Taiwan,,155,81,267,,,
June 2011,United States,,5950,93,11057,,,
Dec. 2011,Argentina,,141,33,201,,,
Dec. 2011,Australia,,444,65,496,,,
Dec. 2011,Belgium,,99,67,124,,,
Dec. 2011,Brazil,,1615,90,2222,,,
Dec. 2011,Canada,,41,24,49,,,
Dec. 2011,Switzerland,,69,67,76,,,
Dec. 2011,Chile,,117,43,186,,,
Dec. 2011,Germany,,1426,45,2027,,,
Dec. 2011,Spain,,388,51,610,,,
Dec. 2011,France,,1404,44,1779,,,
Dec. 2011,United Kingdom,,1455,64,1764,,,
Dec. 2011,Hong Kong,,202,51,202,,,
Dec. 2011,Hungary,,73,0,79,,,
Dec. 2011,Israel,,51,61,79,,,
Dec. 2011,India,,2207,66,3427,,,
Dec. 2011,Italy,,844,51,1124,,,
Dec. 2011,Japan,,90,59,117,,,
Dec. 2011,South Korea,,257,37,393,,,
Dec. 2011,Mexico,,67,25,115,,,
Dec. 2011,Netherlands,,37,59,49,,,
Dec. 2011,Norway,,49,69,61,,,
Dec. 2011,Poland,,241,22,297,,,
Dec. 2011,Portugal,,147,29,196,,,
Dec. 2011,Russia,,58,0,65,,,
Dec. 2011,Singapore,,102,83,186,,,
Dec. 2011,Turkey,,88,0,92,,,
Dec. 2011,Taiwan,,224,75,303,,,
Dec. 2011,United States,,6321,93,12243,,,
June 2012,Argentina,,137,38,178,,,
June 2012,Australia,,523,64,841,,,
June 2012,Belgium,,107,67,127,,,
June 2012,Brazil,,1566,76,2640,,,
June 2012,Canada,,50,24,50,,,
June 2012,Switzerland,,82,68,113,,,
June 2012,Chile,,101,45,143,,,
June 2012,Czech Republic,,44,32,44,,,
June 2012,Germany,,1533,39,2007,,,
June 2012,Denmark,,32,78,32,,,
June 2012,Spain,,531,52,1037,,,
June 2012,France,,1546,42,1880,,,
June 2012,United Kingdom,,1425,64,1732,,,
June 2012,Hong Kong,,192,33,192,,,
June 2012,Hungary,,92,0,139,,,
June 2012,Ireland,,34,6,34,,,
June 2012,Israel,,55,60,55,,,
June 2012,India,,2319,64,3467,,,
June 2012,Italy,,841,34,1054,,,
June 2012,Japan,,104,86,133,,,
June 2012,South Korea,,423,35,917,,,
June 2012,Mexico,,71,45,136,,,
June 2012,Netherlands,,59,76,59,,,
June 2012,Norway,,37,70,37,,,
June 2012,Poland,,351,21,458,,,
June 2012,Portugal,,184,14,247,,,
June 2012,Russia,,58,0,58,,,
June 2012,Singapore,,89,70,97,,,
June 2012,Turkey,,112,0,120,,,
June 2012,Taiwan,,271,63,307,,,
June 2012,United States,,7969,90,16281,,,
Dec. 2012,Argentina,,114,38,175,,,
Dec. 2012,Australia,,584,65,711,,,
Dec. 2012,Belgium,,120,63,153,,,
Dec. 2012,Brazil,,1211,66,2526,,,
Dec. 2012,Canada,,38,24,77,,,
Dec. 2012,Switzerland,,49,67,59,,,
Dec. 2012,Chile,,109,58,168,,,
Dec. 2012,Czech Republic,,51,31,84,,,
